candidate_id,rank,score,reasoning
CAND_0033179,1,1.0,"6.9 yrs as a AI Research Engineer at Wipro; background covers ranking and recommendation systems; product-company experience, strong recruiter response (84%)."
CAND_0064326,2,0.997877,"Search Engineer with 7.6 yrs experience at Sarvam AI; career shows evidence of retrieval and embeddings; product-company experience, strong recruiter response (94%)."
CAND_0079387,3,0.993169,"AI Engineer, 6.9 yrs of experience at Microsoft; demonstrated retrieval and recommendation systems in past roles; product-company experience, strong recruiter response (81%)."
CAND_0025640,4,0.990908,"5.6 yrs as a AI Research Engineer at HCL; background covers ranking and recommendation systems; product-company experience, strong recruiter response (87%)."
CAND_0041669,5,0.989665,"8.0 yrs as a Recommendation Systems Engineer at CRED; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (77%)."
CAND_0046064,6,0.986892,"8.9 yrs as a Senior NLP Engineer at Salesforce; background covers retrieval and ranking; product-company experience, strong recruiter response (78%)."
CAND_0002025,7,0.983144,"Senior AI Engineer with 5.9 yrs experience at Apple; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (80%)."
CAND_0011327,8,0.976673,"6.3 yrs as a AI Research Engineer at Krutrim; background covers ranking and recommendation systems; product-company experience, strong recruiter response (79%)."
CAND_0081846,9,0.97665,"Lead AI Engineer with 6.7 yrs experience at Razorpay; career shows evidence of retrieval and ranking; product-company experience, strong recruiter response (73%)."
CAND_0046525,10,0.975185,"Senior Machine Learning Engineer, 6.1 yrs of experience at Genpact AI; demonstrated retrieval and ranking in past roles; product-company experience, strong recruiter response (88%)."
CAND_0011687,11,0.974753,"7.8 yrs as a Senior NLP Engineer at Niramai; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (89%)."
CAND_0030031,12,0.972329,"AI Engineer, 5.7 yrs of experience at Microsoft; demonstrated recommendation systems and embeddings in past roles; product-company experience, strong recruiter response (94%)."
CAND_0004402,13,0.970831,"AI Research Engineer, 6.0 yrs of experience at Yellow.ai; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (83%)."
CAND_0005509,14,0.969665,"Data Scientist, 6.0 yrs of experience at Ola; demonstrated ranking and recommendation systems in past roles; product-company experience, recently active."
CAND_0075249,15,0.969334,"Applied ML Engineer with 6.2 yrs experience at Zomato; career shows evidence of retrieval and recommendation systems; product-company experience, strong recruiter response (82%)."
CAND_0018499,16,0.968838,"Senior Machine Learning Engineer, 7.2 yrs of experience at Zomato; demonstrated retrieval and ranking in past roles; product-company experience, strong recruiter response (61%)."
CAND_0017960,17,0.968481,"7.7 yrs as a Recommendation Systems Engineer at Nykaa; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (72%)."
CAND_0098846,18,0.964888,"7.6 yrs as a AI Engineer at upGrad; background covers retrieval and embeddings; product-company experience, strong recruiter response (62%)."
CAND_0049896,19,0.964754,"Search Engineer with 7.3 yrs experience at Unacademy; career shows evidence of retrieval and recommendation systems; product-company experience, recently active. Minor concern: 90-day notice period."
CAND_0008425,20,0.963786,"Senior NLP Engineer, 7.8 yrs of experience at Ola; demonstrated retrieval and recommendation systems in past roles; product-company experience, strong recruiter response (66%). Minor concern: 90-day notice period."
CAND_0097176,21,0.963482,"ML Engineer with 5.9 yrs experience at TCS; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (76%)."
CAND_0010685,22,0.963066,"6.7 yrs as a NLP Engineer at Rephrase.ai; background covers retrieval and embeddings; product-company experience, strong recruiter response (83%)."
CAND_0006538,23,0.960102,"AI Specialist, 5.7 yrs of experience at Dream11; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (86%)."
CAND_0068811,24,0.957591,"Applied ML Engineer with 8.0 yrs experience at Freshworks; career shows evidence of retrieval and recommendation systems; product-company experience, recently active."
CAND_0065878,25,0.957357,"Senior Data Scientist, 7.8 yrs of experience at Niramai; demonstrated recommendation systems and embeddings in past roles; product-company experience, 7 core AI skills."
CAND_0065786,26,0.956005,"4.9 yrs as a AI Specialist at Swiggy; background covers ranking and recommendation systems; product-company experience, strong recruiter response (89%)."
CAND_0057563,27,0.953511,"6.8 yrs as a NLP Engineer at Locobuzz; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (83%)."
CAND_0010257,28,0.952594,"Senior Data Scientist with 6.5 yrs experience at Google; career shows evidence of recommendation systems and embeddings; product-company experience, strong recruiter response (72%). Minor concern: 120-day notice period."
CAND_0031593,29,0.952097,"Search Engineer with 7.8 yrs experience at Genpact AI; career shows evidence of retrieval and recommendation systems; product-company experience, strong recruiter response (58%). Minor concern: 90-day notice period."
CAND_0052682,30,0.951963,"6.6 yrs as a NLP Engineer at Aganitha; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (88%)."
CAND_0071974,31,0.951624,"Senior AI Engineer, 7.8 yrs of experience at Netflix; demonstrated retrieval and ranking in past roles; product-company experience, strong recruiter response (76%)."
CAND_0000422,32,0.95079,"6.3 yrs as a AI Research Engineer at Haptik; background covers ranking and recommendation systems; product-company experience, strong recruiter response (79%). Minor concern: 90-day notice period."
CAND_0032271,33,0.949458,"AI Research Engineer with 6.6 yrs experience at Mad Street Den; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (79%). Minor concern: 120-day notice period."
CAND_0015493,34,0.946813,"Data Scientist, 6.4 yrs of experience at CRED; demonstrated ranking and recommendation systems in past roles; product-company experience, 5 core AI skills."
CAND_0052328,35,0.945277,"6.5 yrs as a Recommendation Systems Engineer at Amazon; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (79%)."
CAND_0060054,36,0.944409,"AI Engineer with 6.4 yrs experience at Mad Street Den; career shows evidence of retrieval and recommendation systems; product-company experience, strong recruiter response (86%)."
CAND_0044855,37,0.94031,"6.6 yrs as a Senior Data Scientist at Flipkart; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (57%)."
CAND_0018549,38,0.939895,"Recommendation Systems Engineer with 6.8 yrs experience at Uber; career shows evidence of recommendation systems and embeddings; product-company experience, strong recruiter response (73%)."
CAND_0040117,39,0.939067,"Recommendation Systems Engineer, 6.5 yrs of experience at PhonePe; demonstrated retrieval and recommendation systems in past roles; product-company experience, strong recruiter response (66%)."
CAND_0053605,40,0.936695,"Senior Software Engineer (ML), 6.9 yrs of experience at Verloop.io; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (88%)."
CAND_0065195,41,0.933333,"5.1 yrs as a Search Engineer at CRED; background covers retrieval and embeddings; product-company experience, strong recruiter response (80%)."
CAND_0069638,42,0.932538,"6.2 yrs as a Computer Vision Engineer at Swiggy; background covers ranking and recommendation systems; product-company experience, strong recruiter response (64%)."
CAND_0028793,43,0.928198,"7.2 yrs as a Search Engineer at Google; background covers retrieval and embeddings; product-company experience, strong recruiter response (57%). Minor concern: 120-day notice period."
CAND_0078002,44,0.927293,"6.3 yrs as a Machine Learning Engineer at Meta; background covers recommendation systems and embeddings; product-company experience, strong recruiter response (86%)."
CAND_0090300,45,0.926572,"AI Research Engineer with 5.3 yrs experience at Dream11; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (94%). Minor concern: 120-day notice period."
CAND_0086151,46,0.92498,"Recommendation Systems Engineer with 7.7 yrs experience at Wysa; career shows evidence of retrieval and recommendation systems; product-company experience, strong recruiter response (52%). Minor concern: 120-day notice period."
CAND_0077285,47,0.924826,"5.5 yrs as a Recommendation Systems Engineer at Nykaa; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (56%)."
CAND_0055960,48,0.924133,"AI Specialist, 4.9 yrs of experience at Dream11; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (89%). Minor concern: 90-day notice period."
CAND_0073007,49,0.923104,"5.8 yrs as a AI Specialist at Aganitha; background covers ranking and recommendation systems; product-company experience, strong recruiter response (83%)."
CAND_0070525,50,0.923006,"Senior Software Engineer (ML), 5.4 yrs of experience at Mad Street Den; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (93%)."
CAND_0053695,51,0.922949,"Recommendation Systems Engineer, 5.8 yrs of experience at Meesho; demonstrated retrieval and recommendation systems in past roles; product-company experience, strong recruiter response (60%)."
CAND_0009024,52,0.922582,"Search Engineer with 5.2 yrs experience at Google; career shows evidence of recommendation systems and embeddings; product-company experience, 5 core AI skills."
CAND_0010149,53,0.922315,"ML Engineer with 6.9 yrs experience at Glance; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (82%). Minor concern: 90-day notice period."
CAND_0055905,54,0.921784,"Senior Machine Learning Engineer with 8.1 yrs experience at Flipkart; career shows evidence of retrieval and ranking; product-company experience, strong recruiter response (87%). Minor concern: based in London, not open to relocation."
CAND_0058688,55,0.920949,"6.7 yrs as a AI Engineer at Vedantu; background covers recommendation systems and embeddings; product-company experience, strong recruiter response (74%)."
CAND_0098454,56,0.920717,"AI Specialist with 6.6 yrs experience at Meesho; career shows evidence of search/IR and production ML; product-company experience, strong recruiter response (87%)."
CAND_0091909,57,0.92041,"Machine Learning Engineer, 6.9 yrs of experience at Rephrase.ai; demonstrated recommendation systems and embeddings in past roles; product-company experience, strong recruiter response (65%)."
CAND_0008517,58,0.92034,"AI Research Engineer with 5.6 yrs experience at Locobuzz; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (80%). Minor concern: 120-day notice period."
CAND_0042506,59,0.917959,"4.2 yrs as a Search Engineer at Verloop.io; background covers retrieval and recommendation systems; product-company experience, recently active."
CAND_0039754,60,0.916617,"Senior Applied Scientist, 16.2 yrs of experience at Meta; demonstrated retrieval and ranking in past roles; product-company experience, strong recruiter response (81%)."
CAND_0075574,61,0.916492,"Machine Learning Engineer, 5.7 yrs of experience at Haptik; demonstrated retrieval and embeddings in past roles; product-company experience, strong recruiter response (58%)."
CAND_0018925,62,0.915788,"AI Research Engineer, 5.8 yrs of experience at Rephrase.ai; demonstrated ranking and recommendation systems in past roles; product-company experience. Minor concern: 90-day notice period."
CAND_0043860,63,0.914748,"Junior ML Engineer with 6.1 yrs experience at Aganitha; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (81%)."
CAND_0081686,64,0.914339,"6.0 yrs as a Search Engineer at Netflix; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (91%). Minor concern: based in Austin, not open to relocation."
CAND_0060340,65,0.913813,"Computer Vision Engineer, 6.1 yrs of experience at Wysa; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (54%)."
CAND_0069248,66,0.913809,"5.4 yrs as a AI Research Engineer at Unacademy; background covers ranking and recommendation systems; product-company experience, strong recruiter response (75%). Minor concern: 120-day notice period."
CAND_0078508,67,0.912914,"AI Research Engineer, 5.2 yrs of experience at Rephrase.ai; demonstrated ranking and recommendation systems in past roles; product-company experience."
CAND_0067866,68,0.912671,"Senior Software Engineer (ML) with 6.4 yrs experience at Tech Mahindra; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (79%)."
CAND_0066376,69,0.912486,"Applied ML Engineer, 5.7 yrs of experience at Dream11; demonstrated retrieval and recommendation systems in past roles; product-company experience, strong recruiter response (51%). Minor concern: 90-day notice period."
CAND_0024147,70,0.911896,"ML Engineer with 5.9 yrs experience at Ola; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (84%)."
CAND_0074123,71,0.911654,6.9 yrs as a Data Scientist at CRED; background covers ranking and recommendation systems; product-company experience.
CAND_0067535,72,0.911143,"6.8 yrs as a Junior ML Engineer at Locobuzz; background covers ranking and recommendation systems; product-company experience, strong recruiter response (81%)."
CAND_0049540,73,0.910822,"ML Engineer, 6.8 yrs of experience at Saarthi.ai; demonstrated search/IR and production ML in past roles; product-company experience, strong recruiter response (86%)."
CAND_0025882,74,0.910701,"Senior Software Engineer (ML), 5.6 yrs of experience at Freshworks; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (79%)."
CAND_0099401,75,0.910303,"7.7 yrs as a NLP Engineer at Dream11; background covers recommendation systems and embeddings; product-company experience, recently active — but 90-day notice period."
CAND_0026716,76,0.910229,"Computer Vision Engineer, 5.6 yrs of experience at PharmEasy; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (82%)."
CAND_0064130,77,0.910163,"6.7 yrs as a AI Research Engineer at Unacademy; background covers ranking and recommendation systems; product-company experience, strong recruiter response (67%) — but inactive ~98 days."
CAND_0069905,78,0.907271,"6.6 yrs as a Applied ML Engineer at Sarvam AI; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (78%) — but 90-day notice period."
CAND_0092706,79,0.906616,"AI Research Engineer with 5.8 yrs experience at Unacademy; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (78%) — but 120-day notice period."
CAND_0077337,80,0.906241,"Staff Machine Learning Engineer with 7.0 yrs experience at Paytm; career shows evidence of retrieval and ranking; product-company experience, strong recruiter response (95%) — but frequent short stints suggest job-hopping."
CAND_0058412,81,0.905758,6.6 yrs as a Senior Software Engineer (ML) at InMobi; background covers ranking and recommendation systems; product-company experience — but inactive ~93 days.
CAND_0043958,82,0.905742,"6.7 yrs as a AI Research Engineer at Dream11; background covers ranking and recommendation systems; product-company experience, strong recruiter response (67%) — but 120-day notice period."
CAND_0070202,83,0.904719,"5.1 yrs as a Machine Learning Engineer at BYJU'S; background covers recommendation systems and embeddings; product-company experience, strong recruiter response (60%) — but 90-day notice period."
CAND_0011432,84,0.904663,"7.6 yrs as a Senior Data Scientist at Amazon; background covers retrieval and embeddings; product-company experience, strong recruiter response (67%)."
CAND_0085851,85,0.904589,ML Engineer with 7.0 yrs experience at Genpact AI; career shows evidence of ranking and recommendation systems; product-company experience.
CAND_0037160,86,0.904313,"6.0 yrs as a Data Scientist at Haptik; background covers ranking and recommendation systems; product-company experience, strong recruiter response (74%); adjacent fit, included near the cutoff."
CAND_0030348,87,0.903349,"Machine Learning Engineer with 4.5 yrs experience at BYJU'S; career shows evidence of retrieval and recommendation systems; product-company experience, strong recruiter response (54%); adjacent fit, included near the cutoff."
CAND_0005260,88,0.901408,"Senior NLP Engineer, 5.2 yrs of experience at Netflix; demonstrated retrieval and ranking in past roles; product-company experience, strong recruiter response (86%); adjacent fit, included near the cutoff."
CAND_0006557,89,0.901303,"7.9 yrs as a NLP Engineer at Paytm; background covers recommendation systems and embeddings; product-company experience, strong recruiter response (63%) — but 120-day notice period."
CAND_0061265,90,0.900986,"6.6 yrs as a Recommendation Systems Engineer at Zoho; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (94%) — but 120-day notice period."
CAND_0008295,91,0.90044,"AI Research Engineer with 6.5 yrs experience at Razorpay; career shows evidence of search/IR and production ML; product-company experience, strong recruiter response (89%); adjacent fit, included near the cutoff."
CAND_0061655,92,0.900231,"4.6 yrs as a Machine Learning Engineer at Krutrim; background covers recommendation systems and embeddings; product-company experience, strong recruiter response (88%); adjacent fit, included near the cutoff."
CAND_0074735,93,0.900117,"5.5 yrs as a Applied ML Engineer at Rephrase.ai; background covers retrieval and embeddings; product-company experience, strong recruiter response (77%) — but 90-day notice period."
CAND_0014858,94,0.899885,"4.9 yrs as a AI Research Engineer at Aganitha; background covers ranking and recommendation systems; product-company experience, recently active — but 90-day notice period."
CAND_0043228,95,0.899283,"Applied ML Engineer, 6.8 yrs of experience at Zoho; demonstrated retrieval and embeddings in past roles; product-company experience, recently active; adjacent fit, included near the cutoff."
CAND_0032955,96,0.899055,"Computer Vision Engineer with 5.2 yrs experience at BYJU'S; career shows evidence of ranking and recommendation systems; product-company experience; adjacent fit, included near the cutoff."
CAND_0067643,97,0.898343,"6.0 yrs as a AI Research Engineer at PhonePe; background covers ranking and recommendation systems; product-company experience; adjacent fit, included near the cutoff."
CAND_0096172,98,0.897775,"NLP Engineer, 5.2 yrs of experience at Krutrim; demonstrated retrieval and recommendation systems in past roles; product-company experience; adjacent fit, included near the cutoff."
CAND_0008049,99,0.897701,ML Engineer with 6.3 yrs experience at Niramai; career shows evidence of ranking and recommendation systems; product-company experience — but inactive ~99 days.
CAND_0046132,100,0.897381,"AI Research Engineer, 4.3 yrs of experience at Verloop.io; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (94%); adjacent fit, included near the cutoff."
